"name"	"description"	"page"
"exon_chrom_start"	"Exon region start (bp)"	"structure"
"exon_chrom_end"	"Exon region end (bp)"	"structure"
"is_constitutive"	"Constitutive exon"	"structure"
"rank"	"Exon rank in transcript"	"structure"
"phase"	"Start phase"	"structure"
"end_phase"	"End phase"	"structure"
"cdna_coding_start"	"cDNA coding start"	"structure"
"cdna_coding_end"	"cDNA coding end"	"structure"
"genomic_coding_start"	"Genomic coding start"	"structure"
"genomic_coding_end"	"Genomic coding end"	"structure"
"ensembl_exon_id"	"Exon stable ID"	"structure"
"cds_start"	"CDS start"	"structure"
"cds_end"	"CDS end"	"structure"
"ensembl_gene_id"	"Gene stable ID"	"homologs"
"ensembl_gene_id_version"	"Gene stable ID version"	"homologs"
"version"	"Version (gene)"	"homologs"
"ensembl_transcript_id"	"Transcript stable ID"	"homologs"
"ensembl_transcript_id_version"	"Transcript stable ID version"	"homologs"
"transcript_version"	"Version (transcript)"	"homologs"
"ensembl_peptide_id"	"Protein stable ID"	"homologs"
"ensembl_peptide_id_version"	"Protein stable ID version"	"homologs"
"peptide_version"	"Version (protein)"	"homologs"
"chromosome_name"	"Chromosome/scaffold name"	"homologs"
"start_position"	"Gene start (bp)"	"homologs"
"end_position"	"Gene end (bp)"	"homologs"
"strand"	"Strand"	"homologs"
"band"	"Karyotype band"	"homologs"
"external_gene_name"	"Gene name"	"homologs"
"external_gene_source"	"Source of gene name"	"homologs"
"transcript_count"	"Transcript count"	"homologs"
"percentage_gene_gc_content"	"Gene % GC content"	"homologs"
"description"	"Gene description"	"homologs"
"cabingdonii_homolog_ensembl_gene"	"Abingdon island giant tortoise gene stable ID"	"homologs"
"cabingdonii_homolog_associated_gene_name"	"Abingdon island giant tortoise gene name"	"homologs"
"cabingdonii_homolog_ensembl_peptide"	"Abingdon island giant tortoise protein or transcript stable ID"	"homologs"
"cabingdonii_homolog_chromosome"	"Abingdon island giant tortoise chromosome/scaffold name"	"homologs"
"cabingdonii_homolog_chrom_start"	"Abingdon island giant tortoise chromosome/scaffold start (bp)"	"homologs"
"cabingdonii_homolog_chrom_end"	"Abingdon island giant tortoise chromosome/scaffold end (bp)"	"homologs"
"cabingdonii_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"cabingdonii_homolog_subtype"	"Last common ancestor with Abingdon island giant tortoise"	"homologs"
"cabingdonii_homolog_orthology_type"	"Abingdon island giant tortoise homology type"	"homologs"
"cabingdonii_homolog_perc_id"	"%id. target Abingdon island giant tortoise gene identical to query gene"	"homologs"
"cabingdonii_homolog_perc_id_r1"	"%id. query gene identical to target Abingdon island giant tortoise gene"	"homologs"
"cabingdonii_homolog_goc_score"	"Abingdon island giant tortoise Gene-order conservation score"	"homologs"
"cabingdonii_homolog_orthology_confidence"	"Abingdon island giant tortoise orthology confidence [0 low, 1 high]"	"homologs"
"scaustralis_homolog_ensembl_gene"	"African ostrich gene stable ID"	"homologs"
"scaustralis_homolog_associated_gene_name"	"African ostrich gene name"	"homologs"
"scaustralis_homolog_ensembl_peptide"	"African ostrich protein or transcript stable ID"	"homologs"
"scaustralis_homolog_chromosome"	"African ostrich chromosome/scaffold name"	"homologs"
"scaustralis_homolog_chrom_start"	"African ostrich chromosome/scaffold start (bp)"	"homologs"
"scaustralis_homolog_chrom_end"	"African ostrich chromosome/scaffold end (bp)"	"homologs"
"scaustralis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"scaustralis_homolog_subtype"	"Last common ancestor with African ostrich"	"homologs"
"scaustralis_homolog_orthology_type"	"African ostrich homology type"	"homologs"
"scaustralis_homolog_perc_id"	"%id. target African ostrich gene identical to query gene"	"homologs"
"scaustralis_homolog_perc_id_r1"	"%id. query gene identical to target African ostrich gene"	"homologs"
"scaustralis_homolog_goc_score"	"African ostrich Gene-order conservation score"	"homologs"
"scaustralis_homolog_orthology_confidence"	"African ostrich orthology confidence [0 low, 1 high]"	"homologs"
"mspretus_homolog_ensembl_gene"	"Algerian mouse gene stable ID"	"homologs"
"mspretus_homolog_associated_gene_name"	"Algerian mouse gene name"	"homologs"
"mspretus_homolog_ensembl_peptide"	"Algerian mouse protein or transcript stable ID"	"homologs"
"mspretus_homolog_chromosome"	"Algerian mouse chromosome/scaffold name"	"homologs"
"mspretus_homolog_chrom_start"	"Algerian mouse chromosome/scaffold start (bp)"	"homologs"
"mspretus_homolog_chrom_end"	"Algerian mouse chromosome/scaffold end (bp)"	"homologs"
"mspretus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"mspretus_homolog_subtype"	"Last common ancestor with Algerian mouse"	"homologs"
"mspretus_homolog_orthology_type"	"Algerian mouse homology type"	"homologs"
"mspretus_homolog_perc_id"	"%id. target Algerian mouse gene identical to query gene"	"homologs"
"mspretus_homolog_perc_id_r1"	"%id. query gene identical to target Algerian mouse gene"	"homologs"
"mspretus_homolog_goc_score"	"Algerian mouse Gene-order conservation score"	"homologs"
"mspretus_homolog_wga_coverage"	"Algerian mouse Whole-genome alignment coverage"	"homologs"
"mspretus_homolog_orthology_confidence"	"Algerian mouse orthology confidence [0 low, 1 high]"	"homologs"
"vpacos_homolog_ensembl_gene"	"Alpaca gene stable ID"	"homologs"
"vpacos_homolog_associated_gene_name"	"Alpaca gene name"	"homologs"
"vpacos_homolog_ensembl_peptide"	"Alpaca protein or transcript stable ID"	"homologs"
"vpacos_homolog_chromosome"	"Alpaca chromosome/scaffold name"	"homologs"
"vpacos_homolog_chrom_start"	"Alpaca chromosome/scaffold start (bp)"	"homologs"
"vpacos_homolog_chrom_end"	"Alpaca chromosome/scaffold end (bp)"	"homologs"
"vpacos_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"vpacos_homolog_subtype"	"Last common ancestor with Alpaca"	"homologs"
"vpacos_homolog_orthology_type"	"Alpaca homology type"	"homologs"
"vpacos_homolog_perc_id"	"%id. target Alpaca gene identical to query gene"	"homologs"
"vpacos_homolog_perc_id_r1"	"%id. query gene identical to target Alpaca gene"	"homologs"
"vpacos_homolog_goc_score"	"Alpaca Gene-order conservation score"	"homologs"
"vpacos_homolog_orthology_confidence"	"Alpaca orthology confidence [0 low, 1 high]"	"homologs"
"mmmarmota_homolog_ensembl_gene"	"Alpine marmot gene stable ID"	"homologs"
"mmmarmota_homolog_associated_gene_name"	"Alpine marmot gene name"	"homologs"
"mmmarmota_homolog_ensembl_peptide"	"Alpine marmot protein or transcript stable ID"	"homologs"
"mmmarmota_homolog_chromosome"	"Alpine marmot chromosome/scaffold name"	"homologs"
"mmmarmota_homolog_chrom_start"	"Alpine marmot chromosome/scaffold start (bp)"	"homologs"
"mmmarmota_homolog_chrom_end"	"Alpine marmot chromosome/scaffold end (bp)"	"homologs"
"mmmarmota_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"mmmarmota_homolog_subtype"	"Last common ancestor with Alpine marmot"	"homologs"
"mmmarmota_homolog_orthology_type"	"Alpine marmot homology type"	"homologs"
"mmmarmota_homolog_perc_id"	"%id. target Alpine marmot gene identical to query gene"	"homologs"
"mmmarmota_homolog_perc_id_r1"	"%id. query gene identical to target Alpine marmot gene"	"homologs"
"mmmarmota_homolog_goc_score"	"Alpine marmot Gene-order conservation score"	"homologs"
"mmmarmota_homolog_wga_coverage"	"Alpine marmot Whole-genome alignment coverage"	"homologs"
"mmmarmota_homolog_orthology_confidence"	"Alpine marmot orthology confidence [0 low, 1 high]"	"homologs"
"pformosa_homolog_ensembl_gene"	"Amazon molly gene stable ID"	"homologs"
"pformosa_homolog_associated_gene_name"	"Amazon molly gene name"	"homologs"
"pformosa_homolog_ensembl_peptide"	"Amazon molly protein or transcript stable ID"	"homologs"
"pformosa_homolog_chromosome"	"Amazon molly chromosome/scaffold name"	"homologs"
"pformosa_homolog_chrom_start"	"Amazon molly chromosome/scaffold start (bp)"	"homologs"
"pformosa_homolog_chrom_end"	"Amazon molly chromosome/scaffold end (bp)"	"homologs"
"pformosa_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"pformosa_homolog_subtype"	"Last common ancestor with Amazon molly"	"homologs"
"pformosa_homolog_orthology_type"	"Amazon molly homology type"	"homologs"
"pformosa_homolog_perc_id"	"%id. target Amazon molly gene identical to query gene"	"homologs"
"pformosa_homolog_perc_id_r1"	"%id. query gene identical to target Amazon molly gene"	"homologs"
"pformosa_homolog_goc_score"	"Amazon molly Gene-order conservation score"	"homologs"
"pformosa_homolog_orthology_confidence"	"Amazon molly orthology confidence [0 low, 1 high]"	"homologs"
"bbbison_homolog_ensembl_gene"	"American bison gene stable ID"	"homologs"
"bbbison_homolog_associated_gene_name"	"American bison gene name"	"homologs"
"bbbison_homolog_ensembl_peptide"	"American bison protein or transcript stable ID"	"homologs"
"bbbison_homolog_chromosome"	"American bison chromosome/scaffold name"	"homologs"
"bbbison_homolog_chrom_start"	"American bison chromosome/scaffold start (bp)"	"homologs"
"bbbison_homolog_chrom_end"	"American bison chromosome/scaffold end (bp)"	"homologs"
"bbbison_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"bbbison_homolog_subtype"	"Last common ancestor with American bison"	"homologs"
"bbbison_homolog_orthology_type"	"American bison homology type"	"homologs"
"bbbison_homolog_perc_id"	"%id. target American bison gene identical to query gene"	"homologs"
"bbbison_homolog_perc_id_r1"	"%id. query gene identical to target American bison gene"	"homologs"
"bbbison_homolog_goc_score"	"American bison Gene-order conservation score"	"homologs"
"bbbison_homolog_orthology_confidence"	"American bison orthology confidence [0 low, 1 high]"	"homologs"
"uamericanus_homolog_ensembl_gene"	"American black bear gene stable ID"	"homologs"
"uamericanus_homolog_associated_gene_name"	"American black bear gene name"	"homologs"
"uamericanus_homolog_ensembl_peptide"	"American black bear protein or transcript stable ID"	"homologs"
"uamericanus_homolog_chromosome"	"American black bear chromosome/scaffold name"	"homologs"
"uamericanus_homolog_chrom_start"	"American black bear chromosome/scaffold start (bp)"	"homologs"
"uamericanus_homolog_chrom_end"	"American black bear chromosome/scaffold end (bp)"	"homologs"
"uamericanus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"uamericanus_homolog_subtype"	"Last common ancestor with American black bear"	"homologs"
"uamericanus_homolog_orthology_type"	"American black bear homology type"	"homologs"
"uamericanus_homolog_perc_id"	"%id. target American black bear gene identical to query gene"	"homologs"
"uamericanus_homolog_perc_id_r1"	"%id. query gene identical to target American black bear gene"	"homologs"
"uamericanus_homolog_goc_score"	"American black bear Gene-order conservation score"	"homologs"
"uamericanus_homolog_orthology_confidence"	"American black bear orthology confidence [0 low, 1 high]"	"homologs"
"nvison_homolog_ensembl_gene"	"American mink gene stable ID"	"homologs"
"nvison_homolog_associated_gene_name"	"American mink gene name"	"homologs"
"nvison_homolog_ensembl_peptide"	"American mink protein or transcript stable ID"	"homologs"
"nvison_homolog_chromosome"	"American mink chromosome/scaffold name"	"homologs"
"nvison_homolog_chrom_start"	"American mink chromosome/scaffold start (bp)"	"homologs"
"nvison_homolog_chrom_end"	"American mink chromosome/scaffold end (bp)"	"homologs"
"nvison_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"nvison_homolog_subtype"	"Last common ancestor with American mink"	"homologs"
"nvison_homolog_orthology_type"	"American mink homology type"	"homologs"
"nvison_homolog_perc_id"	"%id. target American mink gene identical to query gene"	"homologs"
"nvison_homolog_perc_id_r1"	"%id. query gene identical to target American mink gene"	"homologs"
"nvison_homolog_goc_score"	"American mink Gene-order conservation score"	"homologs"
"nvison_homolog_orthology_confidence"	"American mink orthology confidence [0 low, 1 high]"	"homologs"
"cdromedarius_homolog_ensembl_gene"	"Arabian camel gene stable ID"	"homologs"
"cdromedarius_homolog_associated_gene_name"	"Arabian camel gene name"	"homologs"
"cdromedarius_homolog_ensembl_peptide"	"Arabian camel protein or transcript stable ID"	"homologs"
"cdromedarius_homolog_chromosome"	"Arabian camel chromosome/scaffold name"	"homologs"
"cdromedarius_homolog_chrom_start"	"Arabian camel chromosome/scaffold start (bp)"	"homologs"
"cdromedarius_homolog_chrom_end"	"Arabian camel chromosome/scaffold end (bp)"	"homologs"
"cdromedarius_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"cdromedarius_homolog_subtype"	"Last common ancestor with Arabian camel"	"homologs"
"cdromedarius_homolog_orthology_type"	"Arabian camel homology type"	"homologs"
"cdromedarius_homolog_perc_id"	"%id. target Arabian camel gene identical to query gene"	"homologs"
"cdromedarius_homolog_perc_id_r1"	"%id. query gene identical to target Arabian camel gene"	"homologs"
"cdromedarius_homolog_goc_score"	"Arabian camel Gene-order conservation score"	"homologs"
"cdromedarius_homolog_wga_coverage"	"Arabian camel Whole-genome alignment coverage"	"homologs"
"cdromedarius_homolog_orthology_confidence"	"Arabian camel orthology confidence [0 low, 1 high]"	"homologs"
"uparryii_homolog_ensembl_gene"	"Arctic ground squirrel gene stable ID"	"homologs"
"uparryii_homolog_associated_gene_name"	"Arctic ground squirrel gene name"	"homologs"
"uparryii_homolog_ensembl_peptide"	"Arctic ground squirrel protein or transcript stable ID"	"homologs"
"uparryii_homolog_chromosome"	"Arctic ground squirrel chromosome/scaffold name"	"homologs"
"uparryii_homolog_chrom_start"	"Arctic ground squirrel chromosome/scaffold start (bp)"	"homologs"
"uparryii_homolog_chrom_end"	"Arctic ground squirrel chromosome/scaffold end (bp)"	"homologs"
"uparryii_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"uparryii_homolog_subtype"	"Last common ancestor with Arctic ground squirrel"	"homologs"
"uparryii_homolog_orthology_type"	"Arctic ground squirrel homology type"	"homologs"
"uparryii_homolog_perc_id"	"%id. target Arctic ground squirrel gene identical to query gene"	"homologs"
"uparryii_homolog_perc_id_r1"	"%id. query gene identical to target Arctic ground squirrel gene"	"homologs"
"uparryii_homolog_goc_score"	"Arctic ground squirrel Gene-order conservation score"	"homologs"
"uparryii_homolog_wga_coverage"	"Arctic ground squirrel Whole-genome alignment coverage"	"homologs"
"uparryii_homolog_orthology_confidence"	"Arctic ground squirrel orthology confidence [0 low, 1 high]"	"homologs"
"smerianae_homolog_ensembl_gene"	"Argentine black and white tegu gene stable ID"	"homologs"
"smerianae_homolog_associated_gene_name"	"Argentine black and white tegu gene name"	"homologs"
"smerianae_homolog_ensembl_peptide"	"Argentine black and white tegu protein or transcript stable ID"	"homologs"
"smerianae_homolog_chromosome"	"Argentine black and white tegu chromosome/scaffold name"	"homologs"
"smerianae_homolog_chrom_start"	"Argentine black and white tegu chromosome/scaffold start (bp)"	"homologs"
"smerianae_homolog_chrom_end"	"Argentine black and white tegu chromosome/scaffold end (bp)"	"homologs"
"smerianae_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"smerianae_homolog_subtype"	"Last common ancestor with Argentine black and white tegu"	"homologs"
"smerianae_homolog_orthology_type"	"Argentine black and white tegu homology type"	"homologs"
"smerianae_homolog_perc_id"	"%id. target Argentine black and white tegu gene identical to query gene"	"homologs"
"smerianae_homolog_perc_id_r1"	"%id. query gene identical to target Argentine black and white tegu gene"	"homologs"
"smerianae_homolog_goc_score"	"Argentine black and white tegu Gene-order conservation score"	"homologs"
"smerianae_homolog_orthology_confidence"	"Argentine black and white tegu orthology confidence [0 low, 1 high]"	"homologs"
"dnovemcinctus_homolog_ensembl_gene"	"Armadillo gene stable ID"	"homologs"
"dnovemcinctus_homolog_associated_gene_name"	"Armadillo gene name"	"homologs"
"dnovemcinctus_homolog_ensembl_peptide"	"Armadillo protein or transcript stable ID"	"homologs"
"dnovemcinctus_homolog_chromosome"	"Armadillo chromosome/scaffold name"	"homologs"
"dnovemcinctus_homolog_chrom_start"	"Armadillo chromosome/scaffold start (bp)"	"homologs"
"dnovemcinctus_homolog_chrom_end"	"Armadillo chromosome/scaffold end (bp)"	"homologs"
"dnovemcinctus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"dnovemcinctus_homolog_subtype"	"Last common ancestor with Armadillo"	"homologs"
"dnovemcinctus_homolog_orthology_type"	"Armadillo homology type"	"homologs"
"dnovemcinctus_homolog_perc_id"	"%id. target Armadillo gene identical to query gene"	"homologs"
